an.onset	onset detector for arrays / детектор атаки для массивов
osc.sin~	sine wave oscillator / синусоидальный осциллятор
osc.square~	bandlimited square wave oscillator / осциллятор квадратной волны с ограниченным спектром
osc.tri~	bandlimited triangle wave oscillator / осциллятор треугольной волны с ограниченным спектром
canvas.active	checks if the canvas of the object is on the top and active / проверяет, активно ли окно холста объекта и расположено ли оно поверх других
ceammc/canvas.active	checks if the canvas of the object is on the top and active / проверяет, активно ли окно холста объекта и расположено ли оно поверх других
canvas.current	get the information about the current canvas of the object / получение информации о текущем холста объекта
canvas.dir	outputs the current canvas directory of the object and nesting level / выводит директорию холста у объекта и его уровень вложенности
canvas.name	output the current canvas name of the object / выводит имя текущего холста у объекта
canvas.path	output the current canvas file system full path of the object / выводит полный путь холста в файловой системе у объекта
canvas.top	verbose information about top-level canvas of the object / подробная информация о холсте верхнего уровня у объекта
patch.args	get patch or subpatch initial arguments / получить начальные аргументы для патча или субпатча
patch.deps	output the patch dependencies: used objects and abstractions / выводит зависимости патча: используемые объекты и абстракции
patch.tree	output the object tree of the patch / выводит дерево объектов патча
file.size	outputs the file size / выводит размер файла
path.basename	outputs the filename portion of the path name / выводит имя файла из пути к файлу
path.dirname	outputs directory portion of path name / выводит имя каталога файла из пути к файлу
path.exists	checks if the given path exists / проверка существования пути
path.file	file input/output / файловый ввод/вывод
path.is_dir	checks if the path is a directory / проверяет, является ли путь каталогом
path.lsdir	list directory contents / cписок содержимого каталога
path.ls	list directory contents / cписок содержимого каталога
path.monitor	filesystem event monitor / мониторинг событий файловой системы
path.normalize	normalize file paths / нормализует пути файлов
path.norm	normalize file paths / нормализует пути файлов
path.pattern	pattern filename generator / генерирует имя файла по данному шаблону
path.search	file search / поиск файлов
path.split	split path into dirname and basename / разбивает путь на имя каталога и файла
is_any	checks if the input has a general message type / проверяет, является ли входное сообщение сообщением общего типа
is_bang	checks if the input is a *bang* / проверяет, является ли входное сообщение *bang*
is_data	checks if the input is a *data* type / проверяет, является ли входное сообщение типом данных
ceammc/is_data	checks if the input is a *data* type / проверяет, является ли входное сообщение типом данных
is_dict	checks if the input message is a dictionary / проверяет, является ли входное сообщение словарём
ceammc/is_dict	checks if the input message is a dictionary / проверяет, является ли входное сообщение словарём
is_even	even number check / проверка входного числа на чётность
is_file	checks if the file exists and accessible / проверка существования и доступности файла
ceammc/is_file	checks if the file exists and accessible / проверка существования и доступности файла
is_float	checks if the input message is a *float* / проверка, является ли входное сообщение числом с плавающей точкой
is_list	checks if the input message is a *list* / проверка, является ли входное сообщение списком
is_odd	input number oddity check / проверка входного числа на нечётность
is_pointer	checks if input message is a *pointer* / проверка, является ли входное сообщение указателем
is_prop	checks if the input message is a *property* message / проверка, является ли входное сообщение *свойством*
is_symbol	checks if input message is a *symbol* / проверка, является ли входное сообщение *символом*
preset.float	load or store the float into a preset / загружает или сохраняет числовое значение в пресете
preset.f	load or store the float into a preset / загружает или сохраняет числовое значение в пресете
preset.list	loads or store the list into a preset / загружает или сохраняет список в пресете
preset.l	loads or store the list into a preset / загружает или сохраняет список в пресете
preset.storage	preset storage controller / управление пресетами
preset.symbol	load or store the symbol into a preset / загружает или сохраняет символ в пресет
preset.s	load or store the symbol into a preset / загружает или сохраняет символ в пресет
patch.props	get or set the patch properties / получение или установка свойств патча
prop	get/set the named property value for subpatch or abstraction / получить/установить именованное значение свойства для субпатча или абстракции
ceammc/prop	get/set the named property value for subpatch or abstraction / получить/установить именованное значение свойства для субпатча или абстракции
prop.declare	declare the named property for a subpatch or an abstraction / объявляет именованное свойство для субпатча или абстракции
prop.get	get the property value from connected object, subpatch or abstraction / получить значение свойства от подсоединённого объекта, субпатча или абстракции
p.get	get the property value from connected object, subpatch or abstraction / получить значение свойства от подсоединённого объекта, субпатча или абстракции
prop.join	inject properties into the main data flow / добавляет свойства в основной поток данных
prop<-	inject properties into the main data flow / добавляет свойства в основной поток данных
prop.random	property value randomizer / рандомизатор значения свойства
prop.route	separates properties from the dataflow / отделяет свойства от основного потока данных
prop->	separates properties from the dataflow / отделяет свойства от основного потока данных
@->	separates properties from the dataflow / отделяет свойства от основного потока данных
ceammc/prop->	separates properties from the dataflow / отделяет свойства от основного потока данных
ceammc/@->	separates properties from the dataflow / отделяет свойства от основного потока данных
prop.split	separates properties from the dataflow / отделяет свойства от основного потока данных
prop.route~	property extractor from audio connections / отделяет свойства от аудиосоединений
prop~>	property extractor from audio connections / отделяет свойства от аудиосоединений
@~>	property extractor from audio connections / отделяет свойства от аудиосоединений
ceammc/prop~>	property extractor from audio connections / отделяет свойства от аудиосоединений
ceammc/@~>	property extractor from audio connections / отделяет свойства от аудиосоединений
prop.get~	property extractor from audio connections / отделяет свойства от аудиосоединений
prop.set	set the property value for connected object, subpatch or abstraction / устанавливает значение свойства для подключенного объекта, субпатча или абстракции
p.set	set the property value for connected object, subpatch or abstraction / устанавливает значение свойства для подключенного объекта, субпатча или абстракции
proto.arturia.minilab	simple SysEx control for Arturia MiniLab / управление по SysEx для Arturia MiniLab
proto.feelworld	controlling the FeelWorld LivePro L1 HDMI mixer / управление видео-микшером FeelWorld LivePro L1 HDMI
proto.firmata	Firmata Arduino protocol support / поддержка протокола Firmata для Arduino
proto.inscore	creation of messages for the INScore program / создание сообщений для программы INScore
proto.ltc.in~	LTC decoder / LTC-декодер
ltc.in~	LTC decoder / LTC-декодер
proto.ltc.out~	LTC encoder / LTC энкодер
ltc.out~	LTC encoder / LTC энкодер
proto.midi	raw midi encoder/parser / декодер/энкодер исходных сообщений MIDI
proto.midi.casio	Casio Privia MIDI control / управление Casio Privia MIDI
proto.midi.cc	raw midi CC encoder/parser / декодер/энкодер исходных сообщений MIDI СС
proto.midi.sysex	raw midi SYSex encoder/parser / декодер/энкодер исходных сообщений MIDI SYSex
proto.moppy	protocol for Musical flOPPY controller / nротокол для музыкального контроллера flOPPY
proto.morse	Morse encoder / Морзе энкодер
proto.mpv	MPV video player control / управление видео плеером MPV
proto.obs	WebSocket client to control OBS studio / WebSocket клиент для управления OBS studio
proto.sp.alpaca	protocol parser for Arduino-based CEAMMC footswitch / парсер протокола для ножной педали на базе Arduino CEAMMC
proto.vlc	VLC video player control over HTTP / управление видеоплеером VLC через HTTP
proto.whammy	control for Digitech Whammy pedal / управление педалью Digitech Whammy Pedal
proto.xtouch_ext	Behringer XTouch Extender XMidi protocol / управление Behringer XTouch XMidi
random.atom	weighed choosing of the random atom from the specified list / случайный взвешенный выбор атомов из указанного списка
random.a	weighed choosing of the random atom from the specified list / случайный взвешенный выбор атомов из указанного списка
random.discrete	generate random weighted integers on the interval [0, n) / генерирует случайные взвешенные целые числа на интервале [0, n)
random.float	uniform random generator of floats in the specified range / равномерный генератор случайных чисел с плавающей точкой в заданном диапазоне
random.f	uniform random generator of floats in the specified range / равномерный генератор случайных чисел с плавающей точкой в заданном диапазоне
random.gauss	gaussian random distribution / гауссово случайное распределение
random.int	uniform random integer generator in the specified range / равномерный генератор случайных целых чисел в заданном диапазоне
random.i	uniform random integer generator in the specified range / равномерный генератор случайных целых чисел в заданном диапазоне
random.linear	random linear distribution / случайное линейное распределение
random.pw_const	piecewise constant random distribution / кусочно-постоянное случайное распределение
random.pw_lin	piecewise linear random distribution / кусочно-линейное случайное распределение
samp.time~	sample counter / счетчик семплов
samp.t~	sample counter / счетчик семплов
seq.arp	chord arpeggiator / арпеджиатор аккордов
seq.bangs	bang event sequencer / секвенсер пустых событий
seq.b	bang event sequencer / секвенсер пустых событий
seq.counter	cyclic counter / циклический счётчик
seq.life	Conway game of life sequencer / секвенсер для игры Life Джона Конвея
seq.matrix	sequencer control for [ui.matrix] object / секвенсер для объекта [ui.matrix]
seq.nbangs	outputs the specified number of bangs with a time intervals / выводит заданное число bang-ов через интервалы времени
seq.nb	outputs the specified number of bangs with a time intervals / выводит заданное число bang-ов через интервалы времени
seq.phasor	control rate phasor generator / генератор фазора (пилы) для контрольных сигналов
seq.toggles	toggle sequencer / секвенсор переключающих событий
seq.t	toggle sequencer / секвенсор переключающих событий
sequencer	basic sequence player / базовый секвенсер значений
ceammc/sequencer	basic sequence player / базовый секвенсер значений
ceammc/seq	basic sequence player / базовый секвенсер значений
seq	basic sequence player / базовый секвенсер значений
snd.file	sound file loader with additional features / загрузчик звуковых файлов с дополнительными возможностями
snd.play~	sound file player with additional capabilities / проигрыватель звуковых файлов с дополнительными возможностями
hoa.2d.decoder~	2D decoder of higher order ambisonics / двумерный декодер амбисоников высоких порядков
hoa.decoder~	2D decoder of higher order ambisonics / двумерный декодер амбисоников высоких порядков
hoa.2d.encoder~	2D decoder of higher order ambisonics / двумерный кодировщик амбисоников высоких порядков
hoa.encoder~	2D decoder of higher order ambisonics / двумерный кодировщик амбисоников высоких порядков
hoa.2d.exchanger~	renumbers and normalizes the channels in 2d ambisonics / перенумерование и нормализация каналов в двумерных амбисониках
hoa.exchanger~	renumbers and normalizes the channels in 2d ambisonics / перенумерование и нормализация каналов в двумерных амбисониках
hoa.2d.map~	a 2D ambisonic multisource spatializer / многоканальное управление пространственными источниками в двумерных амбисониках
hoa.map~	a 2D ambisonic multisource spatializer / многоканальное управление пространственными источниками в двумерных амбисониках
hoa.2d.optim~	a 2D ambisonic optimization tool / оптимизация двумерных амбисоников
hoa.optim~	a 2D ambisonic optimization tool / оптимизация двумерных амбисоников
hoa.2d.projector~	a plane waves decomposer from circular harmonics domain / декомпозиция из сферических гармоник в плоские волны
hoa.projector~	a plane waves decomposer from circular harmonics domain / декомпозиция из сферических гармоник в плоские волны
hoa.2d.recomposer~	recomposes a 2d plane wave decomposition into circular harmonics / декомпозиция плоских двумерных волн в сферические гармоники
hoa.recomposer~	recomposes a 2d plane wave decomposition into circular harmonics / декомпозиция плоских двумерных волн в сферические гармоники
hoa.2d.rotate~	a 2D ambisonic sound field rotation / вращение двумерного амбисонического звукового поля
hoa.rotate~	a 2D ambisonic sound field rotation / вращение двумерного амбисонического звукового поля
hoa.2d.space	2D planewaves amplitude control / контроль амплитуды двумерных плоских волн
hoa.space	2D planewaves amplitude control / контроль амплитуды двумерных плоских волн
hoa.2d.wider~	a 2D fractional ambisonic order simulator / двумерная симуляция дробного амбисонического порядка
hoa.wider~	a 2D fractional ambisonic order simulator / двумерная симуляция дробного амбисонического порядка
hoa.3d.decoder~	3D decoder of higher order ambisonics / трехмерный декодер амбисоников высоких порядков
hoa.3d.encoder~	3D encoder of higher order ambisonics / 3D кодировщик амбисоников высоких порядков
hoa.3d.exchanger~	renumbers and normalizes the channels / перенумерование и нормализация каналов
hoa.3d.map~	a 3D ambisonic multisource spatializer / многоканальное управление пространственными источниками для трехмерных амбисоников
hoa.3d.meter~	multi spherical meter with sound field descriptor / трехмерный измеритель уровня звукового поля
hoa.3d.optim~	a 3D ambisonic optimization tool / оптимизация трехмерных амбисоников высоких порядков
hoa.3d.scope~	a 3d ambisonic harmonic scope / отображение сферических гармоник в трехмерном амбисоническом поле
hoa.3d.wider~	a 3d fractional ambisonic order simulator / трехмерная симуляция дробного амбисонического порядка
hoa.@process	properties manager for [hoa.process~] object / управление свойствами объекта [hoa.process~]
hoa.in	message inlet for a patcher loaded by [hoa.process~] object / контрольный вход для патча, загружаемого объектом [hoa.process~]
hoa.in~	signal inlet for a patcher loaded by [hoa.process~] object / сигнальный вход для патча, загружаемого объектом [hoa.process~]
hoa.map.ui	a GUI to spatialize sources on a map / GUI для пространственного размещения источников
hoa.out	message outlet for a patcher loaded by hoa.process~ / контрольный выход для патча, загружаемого объектом [hoa.process~]
hoa.out~	signal inlet for a patcher loaded by hoa.process~ / сигнальный выход для патча, загружаемого объектом [hoa.process~]
hoa.process~	patcher loader for multichannel processing / загрузчик патчей для многоканальной обработки
hoa.2d.process~	patcher loader for multichannel processing / загрузчик патчей для многоканальной обработки
hoa.3d.process~	patcher loader for multichannel processing / загрузчик патчей для многоканальной обработки
hoa.scope~	a 2d ambisonic harmonic scope / отображение сферических гармоник в двумерном амбисоническом поле
hoa.2d.scope~	a 2d ambisonic harmonic scope / отображение сферических гармоник в двумерном амбисоническом поле
pan.cos~	two channel equal power sine/cosine panner / двухканальное косинусное панорамирование равной мощности
pan.linsig~	two channel linear panner with the signal control / двухканальное линейное панорамирование управляемое сигналом
pan.lin~	two channel linear panner / двухканальное линейное панорамирование
ceammc/pan~	two channel linear panner / двухканальное линейное панорамирование
pan~	two channel linear panner / двухканальное линейное панорамирование
pan.spread~	spreads input channels across the stereo field / распределяет входные каналы по стереополю
pan.sqrt~	two channel equal power square root panner / двухканальное квадратичное панорамирование равной мощности
spat.pan4~	GMEM SPAT: 4-outputs spatializer / GMEM SPAT: управление 4-х канальным пространственным звуком
ceammc/pan4~	GMEM SPAT: 4-outputs spatializer / GMEM SPAT: управление 4-х канальным пространственным звуком
pan4~	GMEM SPAT: 4-outputs spatializer / GMEM SPAT: управление 4-х канальным пространственным звуком
spat.pan8~	GMEM SPAT: 8-outputs spatializer / GMEM SPAT: управление 8 канальным пространственным звуком
ceammc/pan8~	GMEM SPAT: 8-outputs spatializer / GMEM SPAT: управление 8 канальным пространственным звуком
pan8~	GMEM SPAT: 8-outputs spatializer / GMEM SPAT: управление 8 канальным пространственным звуком
spat.zita6x8~	spat with 6 inputs sources to 8 channel output / управление пространственным звуком с 6 входными источниками на 8 выходных каналов
spat.zita8~	8 channel reverb spatializer / 8-канальная пространственная реверберация
string	constructs the string / создание строки
ceammc/string	constructs the string / создание строки
ceammc/str	constructs the string / создание строки
str	constructs the string / создание строки
string.contains	checks if the string contains specified substring / проверяет, содержит ли строка указанную подстроку
str.contains	checks if the string contains specified substring / проверяет, содержит ли строка указанную подстроку
string.ends_with	checks if the string ends with the specified substring / проверяет, заканчивается ли строка указанной подстрокой
str.ends_with	checks if the string ends with the specified substring / проверяет, заканчивается ли строка указанной подстрокой
string.equal	check strings or symbols for equality / проверка строк или символов на равенство
str.equal	check strings or symbols for equality / проверка строк или символов на равенство
string.format	formats a string like printf function / форматирует строку в стиле функции printf
str.format	formats a string like printf function / форматирует строку в стиле функции printf
string.join	joins the list into a string with the element separator / объединяет список в строку с указанным разделителем элементов
str.join	joins the list into a string with the element separator / объединяет список в строку с указанным разделителем элементов
string.length	number of characters in the string (with Unicode support) / количество символов в строке (с поддержкой Unicode)
str.length	number of characters in the string (with Unicode support) / количество символов в строке (с поддержкой Unicode)
string.match	checks if the string matches to the regular expression / проверка соответствия строки регулярному выражению
str.match	checks if the string matches to the regular expression / проверка соответствия строки регулярному выражению
string.remove	removes a substring from the input string / удаляет подстроку из входной строки
str.remove	removes a substring from the input string / удаляет подстроку из входной строки
string.replace	replace from one substring to another in the input string / замена одной строки на другую во входной строке
str.replace	replace from one substring to another in the input string / замена одной строки на другую во входной строке
string.split	splits the string or symbol into the list by the separator / разбивает строку или символ в список по разделителю
str.split	splits the string or symbol into the list by the separator / разбивает строку или символ в список по разделителю
symbol.split	splits the string or symbol into the list by the separator / разбивает строку или символ в список по разделителю
string.starts_with	checks if the string starts with the specified substring / проверка, начинается ли строка с определенной подстроки
str.starts_with	checks if the string starts with the specified substring / проверка, начинается ли строка с определенной подстроки
string.substr	extract a substring from the input string / извлечение подстроки из входной строки
str.substr	extract a substring from the input string / извлечение подстроки из входной строки
string2symbol	converts the string into the symbol / преобразует строку в символ
ceammc/string2symbol	converts the string into the symbol / преобразует строку в символ
ceammc/str->sym	converts the string into the symbol / преобразует строку в символ
str->sym	converts the string into the symbol / преобразует строку в символ
symbol.equal	check symbols for equality / проверка символов на равенство
symbol.length	outputs the number of characters in a symbol (Unicode supported) / выводит число символов в символьном типе (с поддержкой Unicode)
symbol.num_compare	numeric symbol compare / цифровое сравнение символов
symbol2any	converts symbol or string into a message / преобразует символ или строку в сообщение
ceammc/symbol2any	converts symbol or string into a message / преобразует символ или строку в сообщение
ceammc/sym->any	converts symbol or string into a message / преобразует символ или строку в сообщение
ceammc/str->any	converts symbol or string into a message / преобразует символ или строку в сообщение
ceammc/string2any	converts symbol or string into a message / преобразует символ или строку в сообщение
sym->any	converts symbol or string into a message / преобразует символ или строку в сообщение
str->any	converts symbol or string into a message / преобразует символ или строку в сообщение
string2any	converts symbol or string into a message / преобразует символ или строку в сообщение
symbol2intlist	converts the symbol into a list of character codes / преобразует символьный тип в список кодов составляющих его символов
ceammc/symbol2intlist	converts the symbol into a list of character codes / преобразует символьный тип в список кодов составляющих его символов
ceammc/sym->ilist	converts the symbol into a list of character codes / преобразует символьный тип в список кодов составляющих его символов
sym->ilist	converts the symbol into a list of character codes / преобразует символьный тип в список кодов составляющих его символов
synth.bee3~	Hammond-oid organ FM synthesis instrument / FM-синтезатор в духе органа Хэммонда
synth.birds~	bird singing generator / генератор пения птиц
synth.church_bell~	generic church bell modal model / модовая модель церковного колокола
synth.clap~	clap synth from Faust libraries / синтезатор хлопка ладонями на основе библиотеки языка Faust
synth.dubdub~	simple synth based on a sawtooth wave filtered by a resonant lowpass / простой синтезатор на основе пилообразной волны, фильтруемой резонансным фильтром нижних частот
synth.dx7~	dx7 implementation from Faust libraries / реализация синтезатора DX7 из библиотеки Faust
synth.eguitar~	simple electric guitar model with steel strings / простая модель электрогитары со стальными струнами
synth.english_bell~	English church bell modal model / модовый синтез модели английского церковного колокола
synth.fgrain~	file granulator from STK libraries / файловый гранулятор из библиотеки STK
synth.french_bell~	french church bell modal model / модовый синтез модели французского церковного колокола
synth.german_bell~	German church bell modal model / модовый синтез немецкой модели колокола
synth.glass_harm~	nonlinear banded waveguide modeled glass harmonica / нелинейная волноводная модель стеклянной гармоники
synth.glitch~	glitch synthesizer by naivesound / глитч-синтезатор от naivesound
synth.harpsichord~	waveguide commuted harpsichord / синтезатор клавесина на основе техники волноводного синтеза
synth.hat~	hi-hat synth from Faust libraries / синтезатор хай-хэта из библиотеки Faust
synth.kick2~	low-kick synth from Faust libraries / синтезатор бочки из библиотеки Faust
synth.kick~	low-kick synth from Guitarix project / синтезатор бочки из проекта Guitarix
synth.ks~	Karplus-Strong string / синтезатор колебаний струны по алгоритму Каплуса-Стронга
synth.marimba~	simple marimba physical model implementing a single tone bar connected to tube / простая физическая модель маримбы, реализующая звуковой брусок, соединенный с трубой
synth.metro~	ready to use metronome synth / готовый к использованию синтезатор метронома
synth.piano~	waveguide commuted piano / фортепиано на основе техники связанного волноводного синтеза
synth.rhodey~	STK Fender Rhodes electric piano FM synthesis instrument / FM-синтезатор в стиле Fender Rhodes piano из библиотеки STK
synth.risset_arp~	Jean-Claude Risset's harmonic arpeggio effect / эффект арпеджио Жан-Клода Риссе
synth.risset_bell~	Jean-Claude Risset's bell synth / колокол Жан-Клода Риссе
synth.risset_tone~	Jean-Claude Risset's endless glissando / бесконечное глиссандо Жан-Клода Риссе
synth.russian_bell~	Russian church bell modal model / модовый синтез модели русского церковного колокола
synth.shakers~	various percussion sounds from STK library / различные перкуссионные звуки из библиотеки STK
synth.sitar~	STK sitar / синтезатор ситара из библиотеки STK
synth.snare~	snare drum synth from Guitarix project / синтезатор малого барабана из проекта Guitarix
synth.standard_bell~	Standard bell modal model / модовый синтез стандартной модели колокола
synth.tube_bell~	STK tubular bell (orchestral chime) FM synthesis instrument / FM-синтезатор оркестрового колокола из библиотеки STK
synth.voice_fofc~	simple formant/vocal synthesizer with FOF-cycle filterbank. / простой формантный/вокальный синтезатор с банком фильтров FOF-цикла.
synth.voice_fofs~	simple formant/vocal synthesizer with FOF-smooth filterbank. / простой формантный/вокальный синтезатор со сглаженным банком фильтров FOF
synth.wurley~	Wurlitzer electric piano FM synthesis instrument / FM-синтезатор электро-фортепиано в стиле Wurlitzer
system.colorpanel	system color panel dialog popup / системный диалог выбора цвета
system.command	run commands with pipes on Unix and Windows / запуск цепочек команд с перенаправлением вывода в Unix и Windows
system.cmd	run commands with pipes on Unix and Windows / запуск цепочек команд с перенаправлением вывода в Unix и Windows
system.cursor	outputs the cursor motion, mouse wheel and button clicks / выводит положение курсора, нажатия кнопок мыши и колеса прокрутки
system.exec	run the external command in a separate process / запуск внешней команды в отдельном процессе
system.exit	quit PureData / завершает PureData
system.getenv	output system environment variables / выводит системные переменные окружения
system.hostname	outputs system hostname / выводит имя хоста системы
system.info	retrieve system information: CPU and temperature / получение информации о системе: ЦПУ и температура
system.memsize	returns the size of physical memory (RAM) in bytes / возвращает размер физической памяти (ОЗУ) в байтах
system.memused	outputs the process physical memory usage - current and peak / выводит использование физической памяти процессом - текущее и пиковое
system.screen_size	outputs the current screen size in pixels / выводит размер активного экрана в пикселях
tl.bang	outputs a timeline bang / выводит пустое событие временной шкалы
tl.b	outputs a timeline bang / выводит пустое событие временной шкалы
tl.cue	defines the timeline section / определяет секцию на временной шкале
tl.timeline	timeline event scheduler / планировщик событий временной шкалы
ceammc/timeline	timeline event scheduler / планировщик событий временной шкалы
timeline	timeline event scheduler / планировщик событий временной шкалы
tl.toggle	timeline toggle / переключатель на временной шкале
tl.t	timeline toggle / переключатель на временной шкале
tl.transport	timeline transport control / управление временной шкалой
ui.aview	array view with cursor and range selection / отображение массива с курсором и выбором диапазона
ui.bang	a button that sends an empty event (bang) / кнопка отправляющая пустое событие (bang)
ui.b	a button that sends an empty event (bang) / кнопка отправляющая пустое событие (bang)
ui.button	on/off button widget / виджет кнопки c двумя состояниями
ui.btn	on/off button widget / виджет кнопки c двумя состояниями
ui.canvas	canvas for drawing / холст для рисования
ui.cnv	canvas for drawing / холст для рисования
ui.cmeter~	multichannel circular signal meter / многоканальный круговой измеритель уровня сигнала
ui.cm~	multichannel circular signal meter / многоканальный круговой измеритель уровня сигнала
hoa.2d.meter~	multichannel circular signal meter / многоканальный круговой измеритель уровня сигнала
ui.colorpanel	Color chooser widget / виджет выбора цвета
ui.display	display widget / виджет дисплей
ui.d	display widget / виджет дисплей
ui.dt	display widget / виджет дисплей
ui.dsp~	widget to switch DSP on or off / виджет для включения или выключения обработки звука
ui.env	envelope editor / редактор огибающей
ui.filter	filter widget for calculating [flt.biquad~] coefficients / виджет-калькулятор коэффициентов для фильтра [flt.biquad~]
ui.filter~	sound filter widget / виджет звукового фильтра
ui.gain2~	stereo gain control / контроль громкости стерео
ui.hgain2~	stereo gain control / контроль громкости стерео
ui.vgain2~	stereo gain control / контроль громкости стерео
ui.gain~	gain control / контроль громкости
ui.hgain~	gain control / контроль громкости
ui.vgain~	gain control / контроль громкости
ui.icon	simple icon with button capabilities / простая иконка с возможностями нажатия
ui.incdec	value increment or decrement widget / виджет увеличения или уменьшения значения
ui.keyboard	keyboard widget / виджет клавиатуры
ui.hk	keyboard widget / виджет клавиатуры
ui.vkeyboard	keyboard widget / виджет клавиатуры
ui.vk	keyboard widget / виджет клавиатуры
ui.knob	knob widget / виджет ручки
ui.k	knob widget / виджет ручки
ui.label	simple label widget / простой виджет надписи
ui.lcd	black and white bitmap display / черно-белый растровый дисплей
ui.link	hyperlink widget / виджет гиперссылки
ui.matrix	toggle matrix / матрица переключателей
ui.menu	dropdown menu / выпадающее меню
ui.meter~	peak and RMS signal level / пиковый и RMS уровень сигнала
ui.m~	peak and RMS signal level / пиковый и RMS уровень сигнала
ui.hm~	peak and RMS signal level / пиковый и RMS уровень сигнала
ui.vm~	peak and RMS signal level / пиковый и RMS уровень сигнала
ui.midi	incoming MIDI message viewport / окно просмотра MIDI сообщений
ui.mouse_filter	filter mouse events from UI objects / фильтр событий мыши из UI объектов
ui.mf	filter mouse events from UI objects / фильтр событий мыши из UI объектов
ui.mouse_route	routes mouse events from UI objects / маршрутизация событий мыши от UI объектов
ui.mr	routes mouse events from UI objects / маршрутизация событий мыши от UI объектов
ui.number	number box / числовой бокс
ui.n	number box / числовой бокс
ui.number~	number viewport for signals / просмотр числовых значений сигнала
ui.n~	number viewport for signals / просмотр числовых значений сигнала
ui.plot~	signal plotter / построитель графика для сигналов
ui.polar	2D slider in polar coordinates / 2D слайдер в полярных координатах
ui.preset	preset manager / менеджер пресетов
ui.radio	radio toggle with multiselect option / радиопереключатель с возможностью множественного выбора
ui.radio*	radio toggle with multiselect option / радиопереключатель с возможностью множественного выбора
ui.hrd	radio toggle with multiselect option / радиопереключатель с возможностью множественного выбора
ui.hrd*	radio toggle with multiselect option / радиопереключатель с возможностью множественного выбора
ui.vrd	radio toggle with multiselect option / радиопереключатель с возможностью множественного выбора
ui.vrd*	radio toggle with multiselect option / радиопереключатель с возможностью множественного выбора
ui.rslider	two range slider / двухдиапазонный слайдер
ui.rsl	two range slider / двухдиапазонный слайдер
ui.scope~	waveform signal scope widget / виджет просмотра формы волны
ui.slider	slider widget / виджет слайдера (ползунка)
ui.hsl	slider widget / виджет слайдера (ползунка)
ui.vsl	slider widget / виджет слайдера (ползунка)
ui.slider2d	2D slider widget / 2D виджет слайдера
ui.s2d	2D slider widget / 2D виджет слайдера
ui.sliders	multiple slider widget / виджет многоползункового слайдера
ui.vsliders	multiple slider widget / виджет многоползункового слайдера
ui.spectroscope~	spectroscope widget / виджет просмотрщика спектра
